,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Symbol,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Buildings And Improvements,Hedging Assets Current,Work In Process,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Stock,Current Accrued Expenses,Construction In Progress,Treasury Stock,Additional Paid In Capital,Current Provisions,Non Current Prepaid Assets,Minority Interest,Non Current Accrued Expenses,Long Term Provisions,Line Of Credit,Restricted Cash,Other Inventories,Dueto Related Parties Current,Prepaid Assets,Taxes Receivable,Investments In Other Ventures Under Equity Method,Assets Held For Sale Current,Non Current Note Receivables,Non Current Accounts Receivable,Loans Receivable,Duefrom Related Parties Current,Dueto Related Parties Non Current,Interest Payable,Other Payable,Duefrom Related Parties Non Current,Other Equity Interest,Foreign Currency Translation Adjustments,Unrealized Gain Loss,Dividends Payable
2024-06-30,,12322000000.0,12322000000.0,,27801000000.0,271568000000.0,312629000000.0,84082000000.0,271568000000.0,15925000000.0,300753000000.0,312629000000.0,300753000000.0,300753000000.0,-5012000000.0,-5012000000.0,226033000000.0,79732000000.0,79732000000.0,114017000000.0,36104000000.0,1753000000.0,7703000000.0,24946000000.0,13070000000.0,11876000000.0,77913000000.0,9376000000.0,4251000000.0,4251000000.0,2855000000.0,2855000000.0,,,,50058000000.0,9389000000.0,3297000000.0,3297000000.0,6092000000.0,414770000000.0,252775000000.0,9699000000.0,14958000000.0,14958000000.0,34172000000.0,,34172000000.0,34172000000.0,164761000000.0,-72816000000.0,237577000000.0,12010000000.0,105600000000.0,584000000.0,78641000000.0,0.0,161995000000.0,14183000000.0,,,,47087000000.0,,47087000000.0,100725000000.0,73500000000.0,27225000000.0,15354000000.0,11871000000.0,GOOGL,1702000000.0,985000000.0,717000000.0,11373000000.0,,29185000000.0,,29185000000.0,,,,-850000000.0,47937000000.0,0.0,40669000000.0,40742000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,12381000000.0,12381000000.0,,28059000000.0,263661000000.0,304717000000.0,88474000000.0,263661000000.0,16186000000.0,292844000000.0,304717000000.0,292844000000.0,292844000000.0,-4839000000.0,-4839000000.0,219770000000.0,77913000000.0,77913000000.0,114506000000.0,37509000000.0,1683000000.0,9234000000.0,25185000000.0,13312000000.0,11873000000.0,76997000000.0,9475000000.0,3973000000.0,3973000000.0,2874000000.0,2874000000.0,,,,50972000000.0,11124000000.0,4926000000.0,4926000000.0,6198000000.0,407350000000.0,241879000000.0,10065000000.0,11687000000.0,11687000000.0,33994000000.0,,33994000000.0,33994000000.0,156950000000.0,-70004000000.0,226954000000.0,11576000000.0,99744000000.0,534000000.0,77421000000.0,0.0,165471000000.0,12829000000.0,,,,44552000000.0,,44552000000.0,108090000000.0,83597000000.0,24493000000.0,12664000000.0,11829000000.0,GOOGL,1407000000.0,921000000.0,486000000.0,9703000000.0,,29183000000.0,,29183000000.0,,,,-745000000.0,45297000000.0,0.0,39848000000.0,37679000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,0.0,12460000000.0,12460000000.0,,28504000000.0,254181000000.0,295249000000.0,89716000000.0,254181000000.0,16634000000.0,283379000000.0,295249000000.0,283379000000.0,283379000000.0,-4402000000.0,-4402000000.0,211247000000.0,76534000000.0,76534000000.0,119013000000.0,37199000000.0,1616000000.0,8474000000.0,25713000000.0,13843000000.0,11870000000.0,81814000000.0,9525000000.0,4137000000.0,4137000000.0,2791000000.0,2791000000.0,,,,50221000000.0,10241000000.0,2748000000.0,2748000000.0,7493000000.0,402392000000.0,230862000000.0,10051000000.0,12169000000.0,12169000000.0,31008000000.0,,31008000000.0,31008000000.0,148436000000.0,-67458000000.0,215894000000.0,11425000000.0,94685000000.0,472000000.0,74083000000.0,0.0,171530000000.0,12650000000.0,,,,47964000000.0,,47964000000.0,110916000000.0,86868000000.0,24048000000.0,,,GOOGL,1396000000.0,911000000.0,485000000.0,15140000000.0,,29198000000.0,,29198000000.0,,,,-771000000.0,48735000000.0,0.0,39980000000.0,35229000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,,12541000000.0,12541000000.0,,29046000000.0,242223000000.0,285069000000.0,90015000000.0,242223000000.0,17179000000.0,273202000000.0,285069000000.0,273202000000.0,273202000000.0,-7036000000.0,-7036000000.0,205647000000.0,74591000000.0,74591000000.0,123509000000.0,37214000000.0,1433000000.0,8038000000.0,26331000000.0,14464000000.0,11867000000.0,86295000000.0,9143000000.0,4303000000.0,4303000000.0,2715000000.0,2715000000.0,,,,57572000000.0,19331000000.0,13528000000.0,13528000000.0,5803000000.0,396711000000.0,220401000000.0,7628000000.0,10983000000.0,10983000000.0,30907000000.0,,30907000000.0,30907000000.0,139904000000.0,-64750000000.0,204654000000.0,11441000000.0,89127000000.0,424000000.0,71357000000.0,0.0,176310000000.0,12398000000.0,2957000000.0,,,41020000000.0,,41020000000.0,119935000000.0,89233000000.0,30702000000.0,21408000000.0,9294000000.0,GOOGL,1412000000.0,884000000.0,528000000.0,12562000000.0,,30979000000.0,1833000000.0,29146000000.0,,,,-832000000.0,41852000000.0,0.0,38241000000.0,32305000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,,12629000000.0,12629000000.0,,29114000000.0,235965000000.0,279005000000.0,91079000000.0,235965000000.0,17250000000.0,267141000000.0,279005000000.0,267141000000.0,267141000000.0,-5991000000.0,-5991000000.0,200884000000.0,72248000000.0,72248000000.0,115903000000.0,38194000000.0,1765000000.0,8753000000.0,26451000000.0,14587000000.0,11864000000.0,77709000000.0,9446000000.0,3846000000.0,3846000000.0,2663000000.0,2663000000.0,,,,50494000000.0,16183000000.0,10870000000.0,10870000000.0,5313000000.0,383044000000.0,214256000000.0,6822000000.0,9357000000.0,9357000000.0,31224000000.0,,31224000000.0,31224000000.0,135677000000.0,-62917000000.0,198594000000.0,11286000000.0,86061000000.0,338000000.0,68890000000.0,0.0,168788000000.0,9421000000.0,2231000000.0,,,38804000000.0,,38804000000.0,118332000000.0,92403000000.0,25929000000.0,17368000000.0,8561000000.0,GOOGL,1225000000.0,667000000.0,558000000.0,11260000000.0,,31176000000.0,1966000000.0,29210000000.0,,,,-836000000.0,39640000000.0,0.0,34311000000.0,32019000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315000000.0,,,,,,,,,16233000000.0,9691000000.0,GOOGL,,,,,,,1968000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2670000000.0,,,,,,,,,,,GOOGL,,,,,,,2084000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
